dataset,flakyTrain,nonFlakyTrain,flakyTest,nonFlakyTest,k,sigma,precision,recall,storage,preparationTime,predictionTime
achilles,54.0,6.0,13.0,2.0,3,0.5,1.0,1.0,287933,0.20799707000000006,0.003559289333333335
alluxio-tachyon,3.0,2189.0,1.0,548.0,3,0.5,1.0,0.43333333333333335,19285911,7.477157780406177,0.00366052146859834
ambari,3.0,6.0,1.0,2.0,3,0.5,0.9166666666666666,0.7333333333333333,26765,0.04643864833333303,0.005335862777777766
hadoop,244.0,2387.0,61.0,597.0,3,0.5,0.8702144881997291,0.6896174863387979,23667879,9.516789160688152,0.0039061638490048346
jackrabbit-oak,6.0,7372.0,2.0,1843.0,3,0.5,0.041666666666666664,0.016666666666666666,74854103,24.75770617966316,0.00390139805438311
jimfs,6.0,358.0,1.0,90.0,3,0.5,0.617283950617284,0.8666666666666667,2477255,1.2949199700000031,0.0037259008058608306
ninja,14.0,750.0,4.0,187.0,3,0.5,0.8033333333333332,0.6666666666666666,5825735,2.2433091133333303,0.0031240387260034804
okhttp,53.0,1185.0,13.0,297.0,3,0.5,0.8065031265031267,0.582051282051282,10111771,4.428805013126618,0.003791961925398018
oozie,685.0,251.0,171.0,63.0,3,0.5,0.9996124031007751,0.9996101364522417,7343155,3.8071394199999915,0.00426446317663817
oryx,10.0,298.0,3.0,74.0,3,0.5,0.7253086419753088,0.4333333333333334,2037655,0.8147677433333338,0.00280612653679651
spring-boot,11.0,5445.0,3.0,1362.0,3,0.5,1.0,0.7888888888888891,53504159,16.97374660753945,0.0035578932301298157
togglz,9.0,309.0,2.0,78.0,3,0.5,0.010869565217391304,0.016666666666666666,2119187,0.9133126913567825,0.0030469329830401805
wro4j,8.0,802.0,2.0,201.0,3,0.5,0.038461538461538464,0.016666666666666666,6228159,2.6513771482658584,0.0034726582023027136
achilles,54.0,6.0,13.0,2.0,3,0.95,1.0,1.0,287933,0.023997840000019238,0.00058503400000038
alluxio-tachyon,3.0,2189.0,1.0,548.0,3,0.95,-,0.0,19285911,0.675348486414941,0.000571165124927263
ambari,3.0,6.0,1.0,2.0,3,0.95,-,0.0,26765,0.007520519999987604,0.0011218788888871561
hadoop,244.0,2387.0,61.0,597.0,3,0.95,0.9645246735983173,0.5240437158469945,23667879,0.8992449965237667,0.0006352980802576999
jackrabbit-oak,6.0,7372.0,2.0,1843.0,3,0.95,0.027777777777777776,0.016666666666666666,74854103,2.023120570661386,0.0008362193022612174
jimfs,6.0,358.0,1.0,90.0,3,0.95,0.9761904761904762,0.7,2477255,0.10781846999998383,0.00047256783882786515
ninja,14.0,750.0,4.0,187.0,3,0.95,0.7870370370370371,0.3333333333333333,5825735,0.1983377300000077,0.00045656518324607313
okhttp,53.0,1185.0,13.0,297.0,3,0.95,1.0,0.28461538461538466,10111771,0.41688980408268345,0.0005535532556472409
oozie,685.0,251.0,171.0,63.0,3,0.95,1.0,0.9935672514619881,7343155,0.3541181933333368,0.0005805060256410235
oryx,10.0,298.0,3.0,74.0,3,0.95,1.0,0.12222222222222223,2037655,0.09128938333333182,0.0004739835497835457
spring-boot,11.0,5445.0,3.0,1362.0,3,0.95,1.0,0.4444444444444445,53504159,1.5116098866344043,0.0007224447643703892
togglz,9.0,309.0,2.0,78.0,3,0.95,0.0,0.0,2119187,0.0886462695980036,0.0004493530466918321
wro4j,8.0,802.0,2.0,201.0,3,0.95,0.0,0.0,6228159,0.20841911260939724,0.0004559308245841553
achilles,54.0,6.0,13.0,2.0,7,0.5,0.9952380952380953,1.0,287933,0.025986023333337948,0.0007653728888889569
alluxio-tachyon,3.0,2189.0,1.0,548.0,7,0.5,1.0,0.5,19285911,0.7468676908780196,0.0007632085654923606
ambari,3.0,6.0,1.0,2.0,7,0.5,1.0,0.4,26765,0.00852363500000782,0.0013703561111109742
hadoop,244.0,2387.0,61.0,597.0,7,0.5,0.8991782777691693,0.7185792349726775,23667879,0.9602522553288872,0.0008074922816683816
jackrabbit-oak,6.0,7372.0,2.0,1843.0,7,0.5,0.0,0.0,74854103,2.0448207850392,0.001015210990945323
jimfs,6.0,358.0,1.0,90.0,7,0.5,0.7901234567901235,0.9,2477255,0.10724690333330504,0.000613244688644597
ninja,14.0,750.0,4.0,187.0,7,0.5,0.9040229885057471,0.575,5825735,0.22255289666667283,0.0006325141884816556
okhttp,53.0,1185.0,13.0,297.0,7,0.5,0.9486243386243386,0.5692307692307692,10111771,0.3735132031524472,0.000667815344669505
